Capacitance,Frequency
20.0 pF,65785.91 kHz
25.0 pF,52628.73 kHz
30.0 pF,43857.27 kHz
35.0 pF,37591.95 kHz
40.0 pF,32892.95 kHz
45.0 pF,29238.18 kHz
50.0 pF,26314.36 kHz
55.0 pF,23922.15 kHz
60.0 pF,21928.64 kHz
65.0 pF,20241.82 kHz
70.0 pF,18795.97 kHz
75.0 pF,17542.91 kHz
80.0 pF,16446.48 kHz
85.0 pF,15479.04 kHz
90.0 pF,14619.09 kHz
95.0 pF,13849.67 kHz
5.0 nF,263.14 kHz
15.0 nF,87.71 kHz
25.0 nF,52.63 kHz
35.0 nF,37.59 kHz
45.0 nF,29.24 kHz
55.0 nF,23.92 kHz
65.0 nF,20.24 kHz
75.0 nF,17.54 kHz
85.0 nF,15.48 kHz
95.0 nF,13.85 kHz
105.0 nF,12.53 kHz
115.0 nF,11.44 kHz
125.0 nF,10.53 kHz
135.0 nF,9.75 kHz
145.0 nF,9.07 kHz
155.0 nF,8.49 kHz
165.0 nF,7.97 kHz
175.0 nF,7.52 kHz
185.0 nF,7.11 kHz
195.0 nF,6.75 kHz
205.0 nF,6.42 kHz
215.0 nF,6.12 kHz
225.0 nF,5.85 kHz
235.0 nF,5.60 kHz
245.0 nF,5.37 kHz
255.0 nF,5.16 kHz
265.0 nF,4.96 kHz
275.0 nF,4.78 kHz
285.0 nF,4.62 kHz
295.0 nF,4.46 kHz
305.0 nF,4.31 kHz
315.0 nF,4.18 kHz
325.0 nF,4.05 kHz
335.0 nF,3.93 kHz
345.0 nF,3.81 kHz
355.0 nF,3.71 kHz
365.0 nF,3.60 kHz
375.0 nF,3.51 kHz
385.0 nF,3.42 kHz
395.0 nF,3.33 kHz
405.0 nF,3.25 kHz
415.0 nF,3.17 kHz
425.0 nF,3.10 kHz
435.0 nF,3.02 kHz
445.0 nF,2.96 kHz
455.0 nF,2.89 kHz
465.0 nF,2.83 kHz
475.0 nF,2.77 kHz
485.0 nF,2.71 kHz
495.0 nF,2.66 kHz
505.0 nF,2.61 kHz
515.0 nF,2.55 kHz
525.0 nF,2.51 kHz
535.0 nF,2.46 kHz
545.0 nF,2.41 kHz
555.0 nF,2.37 kHz
565.0 nF,2.33 kHz
575.0 nF,2.29 kHz
585.0 nF,2.25 kHz
595.0 nF,2.21 kHz
605.0 nF,2.17 kHz
615.0 nF,2.14 kHz
625.0 nF,2.11 kHz
635.0 nF,2.07 kHz
645.0 nF,2.04 kHz
655.0 nF,2.01 kHz
665.0 nF,1.98 kHz
675.0 nF,1.95 kHz
685.0 nF,1.92 kHz
695.0 nF,1.89 kHz
705.0 nF,1.87 kHz
715.0 nF,1.84 kHz
725.0 nF,1.81 kHz
735.0 nF,1.79 kHz
745.0 nF,1.77 kHz
755.0 nF,1.74 kHz
765.0 nF,1.72 kHz
775.0 nF,1.70 kHz
785.0 nF,1.68 kHz
795.0 nF,1.65 kHz
5.0 µF,263.14 Hz
10.0 µF,131.57 Hz
15.0 µF,87.71 Hz
20.0 µF,65.79 Hz
25.0 µF,52.63 Hz
30.0 µF,43.86 Hz
35.0 µF,37.59 Hz
40.0 µF,32.89 Hz
45.0 µF,29.24 Hz
50.0 µF,26.31 Hz
55.0 µF,23.92 Hz
60.0 µF,21.93 Hz
65.0 µF,20.24 Hz
70.0 µF,18.80 Hz
75.0 µF,17.54 Hz
80.0 µF,16.45 Hz
85.0 µF,15.48 Hz
90.0 µF,14.62 Hz
95.0 µF,13.85 Hz
100.0 µF,13.16 Hz
105.0 µF,12.53 Hz
110.0 µF,11.96 Hz
115.0 µF,11.44 Hz
120.0 µF,10.96 Hz
125.0 µF,10.53 Hz
130.0 µF,10.12 Hz
135.0 µF,9.75 Hz
140.0 µF,9.40 Hz
145.0 µF,9.07 Hz
150.0 µF,8.77 Hz
155.0 µF,8.49 Hz
160.0 µF,8.22 Hz
165.0 µF,7.97 Hz
170.0 µF,7.74 Hz
175.0 µF,7.52 Hz
180.0 µF,7.31 Hz
185.0 µF,7.11 Hz
190.0 µF,6.92 Hz
195.0 µF,6.75 Hz
200.0 µF,6.58 Hz
